CODI,PATH,PRESENCE
B22-270,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-270_0/01134.png,0
B22-270,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-270_0/01133.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01236.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00285.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01549.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01092.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug8.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug6.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01371.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01539.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00435.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug3.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug5.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug4.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01729.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug2.png,1
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01239.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00390.png,0
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01650.png,0
